address,quantity,isContract,sourceTokenIds
0x01b840c7824eAbC167709A16A69D562ac28940f6,15,true,"1047 1048 1049 1050 1051 1052 1053 1054 1055 1056 1069 1070 1071 1072 1073"
0x02A712e8Efe2b29463ec632329BFEE7eC846Ad1c,10,false,"2 36 592 621 622 623 626 627 628 629"
0x059354259D7D7b00965fc06C992Cb1f6cd9A9f5d,2,true,"743 776"
0x0857dadB540E0729E58561C16125174D47D34ceC,17,true,"405 406 407 408 409 411 412 413 414 415 417 418 420 422 423 424 425"
0x08bBbaDea958a744135e888C7ed799ec2cbBC70c,1,false,"868"
0x090c6F36DF8a3a803bCBbE5fB26A91d036Fe669D,2,true,"649 1034"
0x09EDB6c8Bde79bFC984151F2DFf8ea02deFD364d,3,false,"566 567 568"
0x0b03Dbd7149B344B9f5Ce9842ac4652b7Be45c1c,14,false,"636 637 638 640 642 643 644 842 843 844 845 857 902 1039"
0x0b795456538a64116a51FbF85A3f2fb6eE3f7F08,1,true,"1023"
0x0BDc5A99B42587F14e2e5bb2794931733Bab8600,1,false,"953"
0x0da745F2Bd7655E4c70D6b02695ca772c8D2f69E,1,false,"816"
0x13DAA913a674D6dE42224A71D616c83dB61632a2,4,false,"203 221 674 805"
0x182FC64F221607583bCA8043bB4171FadeE6dB8a,1,true,"609"
0x1C1700b4be79a4aCeEE9B4B3Df64a193426a49d7,2,false,"723 1005"
0x1c32c58554b50639796777ee29d84fb9b25dadc1,6,true,"834 837 967 968 969 970"
0x1C6a32bb24bf0Fce26CdFEEDdC575C8689dcE108,1,false,"593"
0x1f239b5f4556640AF9eBBFAccaEe7255D6acE6fC,2,true,"753 754"
0x20ad217EE0D8dD723a593D93816aBeF60932Cc65,8,false,"515 516 517 518 519 520 521 522"
0x2127833402462D8144F83e508c1648F76236B85F,1,true,"889"
0x238ed3354973d6B9697D866303b56a0FB16957Ab,1,false,"827"
0x23929AB6e97a753B38A1C06D1733A25624a9d5DF,1,true,"594"
0x2482E633aB14c32Ef2c9c1EdC8Ee4e1171D08ADb,6,false,"265 269 273 277 288 297"
0x25175dE9eB8c5D9AA82bD65ceeDF1dFE435DEc9f,2,false,"887 888"
0x256b6364fBaDB3b35A4De23eFbb70781A392713b,1,false,"20"
0x27100FF4Fa73d604eafc781513a31884DA3E75F8,9,false,"724 725 726 727 728 729 730 732 733"
0x27950a917301210eB4F16bfB2d03c92aaA53063f,1,true,"963"
0x28135235541742bc1424d10b5dE1963292f0C1E4,2,false,"421 977"
0x284a9e688Fa5356F0ef73B28Cf5c0209e275079d,1,false,"867"
0x28E5D11C90838e7f24a8d99f916ce1292cDD367E,1,false,"781"
0x291bC9AaAe885625605429d8ef4aa25Babe3966F,14,false,"734 735 736 772 795 796 797 858 859 860 890 972 973 974"
0x29CAcC19c8e9F0e10De66ea31C348a1e766137eA,1,true,"933"
0x2b23c8C503CdA2fE9dC8cCE83056e7A0732E5D12,2,true,"822 823"
0x302Dbc0640dC3917dA8102608F2a0B6bab251c84,2,false,"596 1038"
0x3155D4C7FF1becf9D5B7517276C12F72a5fcF84D,4,false,"847 848 849 852"
0x335671Daf9a8A003359A7103fFc803Fb869f6974,3,true,"924 925 926"
0x33A3850086ECC3039957DeCEE1edAFC9fa87C12A,1,false,"1046"
0x3769e808aAfd0688062864292c6B23DDF7815FA2,2,false,"850 851"
0x3BaF9a519367613aD4B0C096B137AA433A2C1059,2,false,"580 581"
0x3d0de3A76cd9f856664DC5a3adfd4056E45da9ED,7,true,"233 554 555 556 557 624 647"
0x445fE5258ECb8bcA8A9eE76617cE0Bbb507059DF,18,false,"538 539 540 541 542 543 635 706 813 1057 1058 1059 1060 1061 1062 1063 1067 1068"
0x447d3809aB984e75431854432f9d7b9325112E07,38,true,"94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131"
0x4615B68a98A4E5bf48dC835eb2e74A296B0e2940,2,true,"846 976"
0x47db21FaA120Afbd9BeCdF00d8d24991BE6BF57F,1,true,"475"
0x48477b50818b75f4b4A5C86D5fcbB35d3c0fb14D,29,false,"1 381 382 383 384 385 386 387 389 390 391 392 393 395 397 398 400 401 403 684 685 686 687 689 690 692 693 749 862"
0x49b9e94F9841da5dF27CB44Ede19d963b8FF6E78,2,false,"462 470"
0x49eDE6242535bB3e2CB329a9169037473F94956E,1,false,"597"
0x4B7d3876955ec60b2A4c4342De9346023c2CCcc9,30,true,"205 460 473 476 481 482 486 571 578 664 677 683 713 774 812 854 855 880 955 957 958 961 1007 1008 1010 1017 1064 1066 1095 1096"
0x4C23f74B7DA9e62ef2c2286e848B6C91f7351b07,3,false,"864 865 866"
