wallet,stakedCount
0xc7f55ce6a7df9a79cc4a643a5081230f890c7aa6,51
0xa26f5dc12bae4b0a8a684526a3beb77f34f99426,41
0x447d3809ab984e75431854432f9d7b9325112e07,38
0x4d540f7d0eb841c839334655c9f88313d750c6d5,34
0x2482e633ab14c32ef2c9c1edc8ee4e1171d08adb,33
0xb92764398dfdf3a41c15c9126d495f44c53b3f87,30
0x7179af9dbe43f1dbfed8733b83260ecac18515c4,27
0x523c6f0fd640055350af22fa5e5b83cd773d6ffd,26
0x48477b50818b75f4b4a5c86d5fcbb35d3c0fb14d,24
0x0857dadb540e0729e58561c16125174d47d34cec,21
0xffe9309a3c8eb35c587130b9d5d1baf60eafb61b,20
0x5ee89be87d5356bd97b441669a2a21dc1da627d6,16
0x49b9e94f9841da5df27cb44ede19d963b8ff6e78,13
0x4b7d3876955ec60b2a4c4342de9346023c2cccc9,10
0x4f64512f1a4a2e754d571dc81fac34550048113a,10
0x854038f3d137e753c7e3245d9163c58bbd068d91,10
0x96fbe9110edfff6ac54cb2a5887bccc0e64d74ce,10
0x20ad217ee0d8dd723a593d93816abef60932cc65,8
0xc4e7e70a3a41c655b1b634da13dd2689af821616,8
0xd52b90413165c5fa35e33060b62509c95d56ac7b,7
0x445fe5258ecb8bca8a9ee76617ce0bbb507059df,6
0x4e8657693c7fabc1c22aef935ad9c28f40892f3a,5
0xb45b3a0286f3d61faa6691e16c852afe64917ab5,5
0x3d0de3a76cd9f856664dc5a3adfd4056e45da9ed,4
0x5ab59a28f190e0bdeb73ad880fa0f7b8a063fdd7,4
0xfb8960abe3f37af8fface0e646ba18681568a845,4
0x09edb6c8bde79bfc984151f2dff8ea02defd364d,3
0x51b569765e8c87dc3ec0177bc773af54922f61a7,3
0x9a06d523fea656b41d9fbbdd0330126861a02998,3
0xe5dc1b6ece650a8e6bdf038d35090a61fb5dc24c,3
0x245e3d068bcd5dd059bb8c23cca1af6d2877a3be,2
0x3baf9a519367613ad4b0c096b137aa433a2c1059,2
0x60205bab990bf54c701f8850e56bc52446008930,2
0x6d2cea496ba329a0ce2a8e58719fc162c3d82c04,2
0x6e5def44c636a8e538e9448817b374c598b5369a,2
0xb881b610fcb1d2199d658f9825cfc7bde71dae4a,2
0xf5830a568edd42e0388fa002c4eb272ddad54076,2
0x02a712e8efe2b29463ec632329bfee7ec846ad1c,1
0x1c6a32bb24bf0fce26cdfeeddc575c8689dce108,1
0x23929ab6e97a753b38a1c06d1733a25624a9d5df,1
0x28135235541742bc1424d10b5de1963292f0c1e4,1
0x302dbc0640dc3917da8102608f2a0b6bab251c84,1
0x49ede6242535bb3e2cb329a9169037473f94956e,1
0x562aef6cd1d1716e9363de59b6540c39d9a71a86,1
0x6a640d5e3793562071d327868d79d853b2211abf,1
0x6d3a0dac690994fee3d9dd0c124b9cb8a8f2e35d,1
0x95334df32d4bfcd30480ed8fbcfa9ce8d702e121,1
0x96724dc6b5bc79b54c56aba4098a69bbe935b13e,1
0xa5cb9569a5711f71c16f48654b85f908bdd0fc93,1
0xab8dada7f6bdb042710812f5eb7223982e70e79f,1
0xba2201d3af52098fba5c53ceeccc630c2010eed3,1
0xbac19aaf7b6112f8018406e02b4ca2f09467b906,1
0xbea9776143caa8091e8bb7cdab357a5a9a6ad4e0,1
0xd2439aeeb3380afd57f5d9d69cc1be3fe835f160,1
0xe689de4a30d25ee1410a1e0a2f6d7eaae287587b,1
0xfd8f78f708b8b0b768204fff10ca83fe46f6a391,1
